63,DEMON POSSESSED By A TIGER!!!,4FdjbSwO-e4
64,JESUS IS ALIVE! Do you Agree with me? | Prayer with TB Joshua,E0OBYPwAnS4
65,EXPOSED! The High Priestess Of Hell!!!,OmP_AKDHPKE
66,"SERIOUS DEMONIC POSSESSION - ""I Am From The Ocean""",8RuCLB6vM3M
67,IT IS HIS WILL!! | Prayer with TB Joshua,CnXamgSna-g
68,Receive Your Miracle Through YouTube | Prayer With TB Joshua,MJDgQviZLlI
69,"COME IN YOUR LOVE, OH LORD!!! - Prayer with TB Joshua",fdapP3CluUc
70,WHO NEEDS DELIVERANCE!? - Prayer with TB Joshua,D2BczoMN_5s
71,They Will Not Kill You | Prophecy | TB Joshua,rfDxEKoQ4Nk
72,Encouraging Words | Full Sermon| TB Joshua,vLDHkBOefIo
73,THIS IS REAL! Healed of HIV/AIDS Positive 1 in Jesus' Name | T.B. Joshua,2P4L6ohE-u4
74,BE COUNTED! - Pray with TB Joshua,jkH3F-edXvs
75,LET EVERY LIMITATION BE BROKEN - PRAY ALONG WITH T.B. JOSHUA,s5s5SIpt2ls
76,YOU ARE RESCUED! - Pray with TB Joshua,EHWoiFFdeaU
77,YOU ARE DELIVERED! - Pray with TB Joshua,Ux5RAeLPMGc
78,THE RIGHT HAND OF GOD IS POWER! | Mass Prayer With T.B. Joshua,KG4hxDaXXik
79,MONGOLIAN STRANDED IN NIGERIA: Touching Documentary Of Humanitarian Aid,Q4yzNCl4Jok
80,"""I Tried To KILL My Own Family..."" | Drug Addicts DELIVERANCE!!!",i8PAVM9Wtd0
81,Are You CHRISTIAN Or RELIGIOUS??? | TB Joshua Sermon,cRQv0wfN9lE
82,Boston Marathon Explosion Prophecy | TB Joshua,Ll7KrbpFwnA
83,Love is the Greatest | Full Sermon & Worship | TB Joshua,Ja55KZnHR8E
84,Cancerous Fluid Comes Out IMMEDIATELY After PRAYER!!!,ZXM960QtnXQ
85,I LIVE IN HELL: Satan's Senior Demon Exposed!!!,qAxGTZNVd80
86,Can DEMONS Use The BIBLE???,dMyCPWBlyoM
87,TRIPLETS BORN After PASTOR PRAYS!!!,wiA0UIt9EnI
88,Woman Discovers Cure Of HIV/AIDS: The Blood Of Jesus Christ - Mrs Akodu Victoria | TB Joshua,2UAMeODtcfA
89,'MI TESTIMONIO' El documental del Profeta TB Joshua,AI7W0P_cASU
90,RESCUE YOUR FUTURE!  | Prayer With T.B. Joshua,LASOaE-PzYo
91,DEMONS Taught Me To 'SPEAK IN TONGUES'!!!,LRUl9RspBH4
92,A DEMON MARRIED MY WIFE!!! Spiritual Husband Exposed At SCOAN,8cSiypOkNzs
93,A LOST CROWN FOUND | Malawi's High King Receives Prophecy At The SCOAN,YRi98RECGwk
94,Pakistan Airlines Flight Diverted in UK | Prophecy | TB Joshua,EXlS_gIO46c
95,GOD’S GENERALS: A.A Allen And C.S Upthegrove At Miracle Valley,UhIkpefxUz8
96,BREAK THE POWER OF SIN! - Prayer with T.B. Joshua,bxDIfVOinNg
97,Hearing From God - Woman Walks Out of Wheelchair | T.B. Joshua,mRx4XROyjPQ
98,WHO SAID YOU'RE NOT A CHILD OF GOD? - Prayer with T.B. Joshua,UolKBLQM38w
99,SIN POWER OVER YOUR LIFE- BE BROKEN! - Prayer with TB JOSHUA,DhSzC8hRffo
100,"RECEIVE CURE!!! - Prayer With TB Joshua  - July 7, 2013",fHsqcuxxJes
101,Be All God Has Called You - T.B. JOSHUA SERMON,itVKzCLlkFs
102,Touch Your Screen by Faith - Prayer with T.B. Joshua,m4bYk6dVirc
103,REVOLUTION IS COMING!!! - Prophet T.B. Joshua,ZjNWnurCsRM
104,Worry About Tomorrow - T.B. Joshua,Uj9_EjmhHQs
105,Giving to Mayan Tribes in Mexico | T.B. Joshua and Emmanuel TV Partners,3jIz3UaSzLU
106,Christianity is a Relationship - T.B. Joshua,CkOnUmFx4x4
107,Mr & Mrs HIV Free! - Amazing Healing of HIV/AIDS | T.B. Joshua,yS9D8FN95K0
108,A MERMAID From HELL Washes Up In CHURCH!,IKCSwwens88
109,Woman Walks INSTANTLY For First Time In 8 Years!!!,6t4Oe9ruwGQ
110,Tears Turn to Laughter - Prophecy Brings Solution!!,B8CJzR7eDAw
111,I WANT TO SHARE THIS ANOINTING WITH YOU  - Prayer with T.B. Joshua,nq2coeHOCvk
112,Christianity Is A RELATIONSHIP!!! | TB Joshua Sermon,jlludwUBK9w
113,BE CONNECTED - Pray Along with T.B. Joshua,rch-vsUgA7E
114,I RELEASE YOU! - Prayer with T.B. Joshua,D0ubxRyA32c
115,Don't Tempt The Devil To Tempt You - T.B. Joshua,8vDsGUgw3gE
116,SATAN'S WILL BE BROKEN! - Pray Along with T.B. Joshua,UZdD8h8c0tY
117,LET THE POWER OF THE LORD COME DOWN! - Pray with T.B. Joshua,4BjaneboPGk
118,DON'T FIGHT SYRIA - Prophet T.B. Joshua,A5va1qkL3BA
119,Employment Breakthrough! - Anointing Water Testimony,dX_kTJRCt2o
120,Spiritual Snakes Speak Out! - Anointing Water Revival; UK,9s58vVc1mDw
121,"HOW GHANA GOALKEEPER REJECTED $300,000 WORLD CUP BRIBE!!!",L65T6b3ktho
122,REWRITE HISTORY! - Pray With T.B. Joshua,IndiyD8ltMY
123,WATCH This FUNGUS Infested Foot HEAL!!!,RoFd855gowI
124,BE RESCUED! - Prayer with T.B. Joshua,PlzQG6LdLX8
125,Powerful MASS PRAYER With Prophet T.B. Joshua!!!,cKU3OLchSxE
126,BREAK DEMONIC AUTHORITY OVERY YOUR LIFE!! | Prayer With T.B. Joshua,t68JM5k5Ch4
127,I HAVE BEEN COMMISSIONED TO RESCUE YOU - Pray with T.B. Joshua,NrvVah4ERxM
128,Words of Wisdom - T.B. Joshua,SQFV_Ekkvgs
129,Philippine Typhoon Prophecy - T.B. Joshua,yoJcrqw2frM
130,France Shootings Prophecy | T.B. Joshua,hhQBux5XMtE
131,"Every FAMILIAR Spirit, Be CURSED!  Prayer with T.B. Joshua",MNk_0IRFauk
132,HEALING TAKING PLACE IN FRONT OF YOUR EYES!!!,iNXdkEvPBPE
133,Heavenly Currency | Sermon | T.B. Joshua,2wiihi1TzaI
134,Emmanuel TV Mobile App,qRnjbJJnCWs
135,Countless Demons Delivered | Anointing Water Revival UK | Troxy,5aIdUtuRyJU
136,"BE RELEASED, IN THE NAME OF JESUS! | Pray with T.B. Joshua",DKtCHNRv3-Q
137,2014 PRAYER - Year of Crossing the Bridge,uqdxbXzgjD8
138,BEGIN TO FUNCTION IN THE NAME OF JESUS! - Prayer with T.B. Joshua,_SCWDoqZxhA
139,TOUCHING: Watch God Reconcile This BROKEN HOME!!!,Dqmo1uTmhCg
140,"'I Seduce Men With My Eyes..."" - CONFESSIONS OF A HEART-BREAKER",Sfdcx7TZabg
141,DEMON POSSESSED By Satanic Elephant Through Facebook!,qgMUCCQC9BA
142,A CHANCE TO LIVE AGAIN | Jesus Christ Cures HIV AIDS!,-wM2j-DcqQ0
143,CONFESSIONS Of A ‘Little Mermaid’!,R1IUbxFHK5Y
144,Be Released in the name of Jesus! - Pray Along with T.B. Joshua,Go90zgIYm3o
145,Watch DECAYED FLESH Suddenly Transform!!!,kv4Kkmpu00g
146,Pop Star Delivered From DEMONS: TOUCHING STORY!!!,JcXKnegP2eI
147,Humanitarian Aid For The Physically Challenged,3T00Jz-l2Tc
148,12 YEAR-OLD HEALED OF SCORCHING HOT WATER BURNS!,Yh-Yix7NAm4
149,"Miracle Baby - ""Promise"" Of God!",aR6EiXHx4UI
150,SHOCKING: Baby Born INSTANTLY In Church!!!,SX43lBn3dEA
151,I Find Him Reliable And Trustworthy! | Prayer With T.B. Joshua,SpMEBfsjp1I
152,God's Word Is The Final Authority! | Pray With T.B. Joshua,Tz62KN_0yh8
153,REVEALED: A.A Allens Prophecy About T.B. Joshua!!!,cgk2iBuK9uc
154,HOW JESUS SAVED ME WHEN MY BOAT CAPSIZED IN THE ATLANTIC OCEAN!!!,1ax5kAkWyKU
155,SHOCKING: A Prostitute Aged 14!!!,tXZrclLIwOw
156,SUPERNATURAL EMERGENCY LANDING!,8l5aoof65iA
157,Pastor Possessed By The Demonic Idol He Destroyed!,PR4RZn9XNcE
158,SATANIC RITUALS REVEALED: Shocking Confession!,FoFsHDsiIUo
159,How I BEAT UP Men!!!,xas-9Xj-qGw
160,FINANCIAL BREAKTHROUGH TESTIMONY!,w-jOzE_Z0-4
161,DEMONIC DUPING - Dark Secrets Of Internet Fraud Revealed,9rjKchaMTwA
162,AMAZING: A Lawyer's Remarkable Healing!!!,-eCw_Oa2meE
163,Inside The Temple Of A Spiritualist | Full Documentary & Confession,Qz-H2AgHsv8
164,""" I Am Over 400 Years Old"" - DELIVERANCE PASTOR DELIVERED FROM DEMONS!!!",B_2dMFpP7f4
165,"""Your Baby Will Be Called Samuel!"" | Personal Prophecy | TB Joshua",CIJflUfsKi0
166,FRAUDSTER SECRETS REVEALED!,TNCrHr9XM3c
167,RUSSIA WAR PROPHECY!!! | T.B. Joshua,9KNki6D8iEk
168,Addicted To Masturbation; Afflicted To Bedwet | Emmanuel TV Testimony,o_vFw7czamw
